Building Number,Building Abbr,Ofﬁcial Building Name,Original Year,Ext SqFt,Net SqFt
649,,ANIMAL LOAFING SHED - SHEEP CENTER,1946,1600,1574
650,,LARGEANIMAL RESEARCH - VETERINARY MEDICINE,1994,4016.85,3835.44
0650A,,NORTH CATTLE WORKING SHED,2003,1243.84,1221.46
0650B,,RAPTOR FLIGHT CAGES,2003,450.56,416.92
653,,RESEARCH LABORATORY - AGRICULTURE,1965,4754,4383
654,,ANAPLASMOSIS,1938,4245.11,3817.44
655,,SHEEP BARN,1930,12580,11294
about:blank,,,,,13-Jun
"4/18/25, 12:06 PM",,about:blank,,,
656,,CENTRAL DINING SERVICES,1969,35217.02,33054.36
,,BIOSYSTEMSANDAGRICULTURAL ENGINEERING WEST,,,
658,,,1986,7397.48,3944.93
,,LAB,,,
0658A,,BIOENERGY LABORATORY,2008,4186.82,3821.23
659,,MILKING PARLOR,1987,4001.95,3696.78
0659A,,DAIRY FREE-STALL BARN - DAIRY FARM,2017,26353.84,22922.98
0659B,,DAIRY VISITORS CENTER,2020,2362.13,2104.48
0660A,,LOAFING SHEDA - DAIRY FARM,1951,3955.2,3856.24
0660D,,LOAFING SHED D - DAIRY FARM,1951,9673.53,9422.19
0660G,,SICK COW SHED - DAIRY FARM,1950,2291.97,2209.75
0660H,,MANURE HANDLING SHED - DAIRY FARM,2008,1800,1762.69
0660J,,DAIRY FEED LANE - DAIRY FARM,2013,4080,-pending-
0661D,,HAY BARN D - DAIRY FARM,2013,6000,6000
0662A,,CALVING SHED WEST - DAIRY FARM,1999,973.95,953.95
0662B,,COMMODITY BARN - DAIRY FARM,1996,1423.54,1399.43
0662C,,CALVING SHED PEN 9 - DAIRY FARM,1993,398.8,386.74
0662D,,CALVING SHED PEN 10 - DAIRY FARM,1958,398.8,386.62
663,,DAIRY BARN - DAIRY FARM,1948,40010,36546
0663A,,HELMS HALL - DAIRY FARM,2018,2809.33,2158.44
664,,BULL BARNAND LABORATORY - DAIRY FARM,1950,4483.67,4253.63
665,,EQUINE BREEDING BARN - ANIMAL SCIENCE,1965,2137.18,1968.49
0665A,,EQUINE CENTER TRAILER STORAGE,1998,1500,-pending-
0666A,,EQUINE HAY BARN,1993,2834.13,2762.38
0666C,,EQUESTRIAN MARE BARN,2008,-pending-,-pending-
0666D,,EQUESTRIANWASH RACK,2008,680.77,563.39
0666E,,EQUESTRIAN TEAM BUILDING,2022,2857.5,2683.78
667,,WILDLIFE UNIT RESEARCH,1971,2253,2013
0667A,,BOAT STORAGE - NATURAL RESOURCES,2014,-pending-,-pending-
668,,EQUINE STALLION BARN - ANIMAL SCIENCE,1965,1264.36,1160.99
,,ANIMAL SCIENCE RESIDENCE - FARM HOUSE #2,,,
669,,,1934,491,440
,,GARAGE,,,
670,,WATER PLANT,1966,17861.69,15998.99
0670A,,HIGH SERVICE PUMP BUILDING,2017,-pending-,-pending-
0670B,,AMMONIASTORAGE/FEED,2017,-pending-,-pending-
671,,FISHERIES LABORATORY - ENTOMOLOGY AREA,1958,1882,1739
672,,STORAGE - ENTOMOLOGY AREA,1958,1800,1722
0672A,,ENTOMOLOGY AND PLANT PATHOLOGY STORAGE,2022,-pending-,-pending-
673,,FARM SHOP OFFICE,1977,367,325
674,,ANIMAL SCIENCE RESIDENCE - FARM HOUSE #2,1934,1759,1231
675,,MACHINE SHED - ANIMAL SCIENCE FARM,1965,1620,1541
676,,BOAR STUD COLLECTION BARN - ANIMAL SCIENCE,1977,1450,1357
677,,INSECTARY - ENTOMOLOGY AREA,1955,2776,2327
678,,ENTOMOLOGY HEADHOUSE & GREENHOUSES,2007,5313,5083
679,,ENTOMOLOGY SPECIAL PROJECTS LABORATORY,2007,1045.11,961.27
680,,ENTOMOLOGYLABORATORY,1955,3539.75,3163.99
0680A,,ENTOMOLOGY OPEN SHELTERA,1958,-pending-,-pending-
0680B,,ENTOMOLOGY OPEN SHELTER B,1958,-pending-,-pending-
0680C,,ENTOMOLOGY OPEN SHELTER C,1958,-pending-,-pending-
0680D,,ENTOMOLOGY OPEN SHELTER D,1958,-pending-,-pending-
0680E,,ENTOMOLOGY STORAGEA,1958,-pending-,-pending-
0680F,,ENTOMOLOGY STORAGE B,1958,-pending-,-pending-
0680G,,ENTOMOLOGY EQUIPMENT STORAGE BARN,1958,-pending-,-pending-
681,,ENTOMOLOGY STONEHOUSE - ENTOMOLOGY AREA,1975,410,334
682,,FARM SHOP - ANIMAL SCIENCE,1991,1882,3200
683,EFAW,ENTOMOLOGICAL LIVESTOCK RESEARCH FACILITY,1994,3581,3962
0683A,,ENTOMOLOGICAL LIVESTOCK RESEARCH LABORATORY,2006,2020,-pending-
0683B,,ENTOMOLOGICAL LIVESTOCK RESEARCH SHOP,1994,537,-pending-
0683C,,ENTOMOLOGICAL LIVESTOCK RESEARCH SHEEP SHED,1994,383,-pending-
0683D,,ENTOMOLOGICAL RESEARCH PESTICIDE TRAINING,1994,516.85,402.71
0683E,,ENTOMOLOGY PEST CONTROL EDUCATION CLASSROOM,2006,1138.22,1039.08
,,ENTOMOLOGICAL LIVESTOCK RESEARCH EQUIPMENT,,,
0683F,,,2008,3028.4,2876.48
,,STORAGE,,,
,,ENTOMOLOGICAL LIVESTOCK RESEARCH LOAFING,,,
0683G,,,1994,-pending-,-pending-
,,SHED,,,
684,,WILLARD SPARKS BEEF RESEARCH CENTER,1999,16160,15633.38
about:blank,,,,,13-Jul
"4/18/25, 12:06 PM",,about:blank,,,
0684A,,WILLARD SPARKS FEED LANEA,1998,14738.69,14719.42
0684B,,WILLARD SPARKS STORAGEA,1998,815.69,708.91
0684C,,WILLARD SPARKS FEED LANE B,1998,14757,14737.73
0684D,,WILLARD SPARKS STORAGE B,1998,816.11,709.59
0684E,,WILLARD SPARKS COMMODITY BARN,2001,4041.23,3958.23
0684F,,WILLARD SPARKS FEEDER EFFICIENCY,2013,10767,-pending-
0684G,,WILLARD SPARKS HAY BARN,2021,-pending-,-pending-
685,OBGA,OBGAEDUCATIONAL CENTER,1999,6167.35,5843.27
0685A,,BOTANIC GARDENS SAFE SHED STORM SHELTER,2012,80,-pending-
686,,OKLAHOMAGARDENING STUDIO,1995,613,551
0686A,,OKLAHOMAGARDENING COTTAGE,2008,431.27,404.83
0686B,,TBG CONCERT PAVILION,2017,-pending-,-pending-
0686C,,TBG TOOL SHED,2017,-pending-,-pending-
0686D,,OKG SHED,2017,-pending-,-pending-
0686E,,TBG HIGHWAY PAVILION,2017,-pending-,-pending-
687,,PLANT & SOIL HANDLING,1985,1825.39,1609.37
688,,HORTICULTURE STORAGE,1970,3225,-pending-
689,,PLANT PATHOLOGY RESEARCH GREENHOUSE,1996,2778.51,2642.27
690,,MACHINE STORAGE - PLANT PATHOLOGY AREA,1970,3096,2991
0690B,,OPEN SHED STORAGE B - PLANT PATHOLOGY AREA,1970,-pending-,-pending-
0690C,,OPEN SHED STORAGE C - PLANT PATHOLOGY AREA,1970,-pending-,-pending-
0690D,,STORAGE QUONSET - PLANT PATHOLOGY AREA,1970,-pending-,-pending-
691,TURF,TURF PATHOLOGY - PLANT PATHOLOGY AREA,1970,256,225
692,HNSY,NURSERY BARN,1970,5192,5253
693,,TURF RESEARCH BLDG,1983,1470,3240
694,,FORESTRY GREENHOUSE,1965,3775,3615.79
0694A,,FORESTRY GREENHOUSE SHED,2018,-pending-,-pending-
0694B,,FORESTRY STORAGE SHED,2018,-pending-,-pending-
695,,ATHERTON FAMILY ARENA,2019,39482.58,37732.16
0695A,,ATHERTON FAMILY ARENASHED,2019,1018.49,965.63
697,HEC,OSU HORTICULTURE EDUCATION CENTER,2023,2337.17,2145.47
,,OSU HORTICULTURE EDUCATION CENTER STORAGE,,,
0697A,,,Unknown,336.32,307.42
,,SHED,,,
698,,PLANT PATHOLOGY FIELD LABORATORY,1978,3000,2807
699,,PESTICIDE STORAGE # 2 - FORESTRY AREA,1999,3285.62,3222.82
700,,NUTRITION-PHYSIOLOGY CENTERANNEX,1967,8245,7546
0701A,,ANIMAL NUTRITION & PHYSIOLOGY CENTER,2021,-pending-,-pending-
702,,RESIDENCE - BEEF CATTLE AREA,1971,1575,1374
703,BCA,ARENA - BEEF CATTLE AREA,1969,10000,5654
704,,CALF REARING - BEEF CATTLE AREA,1969,4894,4368
705,,COW HERD UNIT - BEEF CATTLE AREA,1969,8080,7448
0705A,,ANIMAL SHELTER 1 - BEEF CATTLE AREA,2012,323,323
0705B,,ANIMAL SHELTER 2- BEEF CATTLE AREA,2012,323,323
0705C,,ANIMAL SHELTER 3 - BEEF CATTLE AREA,2012,323,323
0705D,,ANIMAL SHELTER 4 - BEEF CATTLE AREA,2012,318,318
0705E,,ANIMAL SHELTER 5 - BEEF CATTLE AREA,2012,315,315
0705G,,ANIMAL SHELTER 7 - BEEF CATTLE AREA,2012,160,160
0705H,,ANIMAL SHELTER 8 - BEEF CATTLE AREA,2012,160,160
0705J,,ANIMAL SHELTER 9 - BEEF CATTLE AREA,2012,165,165
0705K,,ANIMAL SHELTER 10 - BEEF CATTLE AREA,2012,315,315
706,,PROGENY TEST UNIT - BEEF CATTLE AREA,1969,9266,8701
0706A,,WHEAT PASTURE RESEARCH - BEEF CATTLEAREA,1969,3320,3300
0706B,,PUREBRED HAY BARN - BEEF CATTLE AREA,1969,4040,4040
,,WHEAT PASTURE RESEARCH STORAGE - BEEF CATTLE,,,
0706C,,,1969,140,138
,,AREA,,,
707,,FEED MIXING PLANT - BEEF CATTLE AREA,1969,5507,4480
0707A,,FEED MILL STORAGE - BEEF CATTLE AREA,1969,675,670
0707B,,FEED MIXING PLANT - BEEF CATTLE AREA B,1969,-pending-,-pending-
708,,FEED MIXING PLANT ANNEX - BEEF CATTLE AREA,1969,4000,4000
,,STORED PRODUCTS RESEARCHAND EDUCATION,,,
709,,,2002,5176.71,4738.29
,,CENTER,,,
0709A,,OKLAHOMAFOUNDATION SEED STOCKS,2017,-pending-,-pending-
,,OKLAHOMAFOUNDATION SEED STOCKS EQUIPMENT,,,
0709B,,,2017,-pending-,-pending-
,,STORAGE,,,
about:blank,,,,,13-Aug
"4/18/25, 12:06 PM",,about:blank,,,
,,OKLAHOMAFOUNDATION SEED STOCKS SEED,,,
0709C,,,2018,-pending-,-pending-
,,CLEANING ROOM,,,
0709H,,ALLERGEN EXTRACTION RESEARCH AND SHELTER,2016,-pending-,-pending-
711,,RENTAL PROPERTY (23-444) HWY 51 W,1995,6041.73,5814.67
713,,CROSSTIMBERS HAY BARN,1986,2500,-pending-
0713A,,CROSSTIMBERS CATTLE WORKING BARN,1987,1046,-pending-
714,,BLUESTEM RANGE RESEARCH,1989,2880,-pending-
0714A,,BLUESTEM RANGE RESEARCH - CATTLE SHED,2009,180,-pending-
715,,PASTURE 86 WORKING BARN,2000,1694.7,1666.63
0715A,,PASTURE 86 STALL BARN,2000,2316.64,2270.87
0715B,,PASTURE 86 INOCULATION SHED,1960,411.61,404.31
0715C,,PASTURE 86 HAY BARN,2016,4000,-pending-
0715D,,PASTURE 86 OFFICES,2020,-pending-,-pending-
716,,RANGE COW RESEARCH CENTER HEADQUARTERS,1985,4500,-pending-
0716A,,SOUTH RANGE MOBILE HOME AND STORAGE,2017,-pending-,-pending-
,,SOUTH RANGE GARAGE - SOUTH LCB RESEARCH,,,
0716B,,,1985,150,-pending-
,,RANGE,,,
,,SOUTH RANGE HAY BARN - SOUTH LCB RESEARCH,,,
0716E,,,1985,600,-pending-
,,RANGE,,,
0716F,,COW FEED & STORAGE - SOUTH LCB RESEARCH RANGE,1985,2000,-pending-
,,SOUTH RANGE STALL BARN - SOUTH LCB RESEARCH,,,
0716J,,,1985,2100,-pending-
,,RANGE,,,
,,SOUTH RANGEANIMAL SHELTER 2 - SOUTH LCB,,,
0716K,,,1985,120,-pending-
,,RESEARCH RANGE,,,
,,SOUTH RANGEANIMAL SHELTER 1 - SOUTH LCB,,,
0716L,,,1985,120,-pending-
,,RESEARCH RANGE,,,
,,HWY 86 WORKING CHUTE & SHED - SOUTH LCB,,,
0716M,,,1985,80,-pending-
,,RESEARCH RANGE,,,
,,SOUTH RANGEANIMAL SHELTER 3 - SOUTH LCB,,,
0716P,,,1985,96,-pending-
,,RESEARCH RANGE,,,
,,SOUTH RANGE FEED STORAGE - SOUTH LCB RESEARCH,,,
0716Q,,,1985,-pending-,-pending-
,,RANGE,,,
,,SOUTH RANGEANIMAL SHELTER 5 - SOUTH LCB,,,
0716R,,,1985,64,-pending-
,,RESEARCH RANGE,,,
,,SOUTH RANGEANIMAL SHELTER 6 - SOUTH LCB,,,
0716S,,,1985,64,-pending-
,,RESEARCH RANGE,,,
,,SOUTH RANGEANIMAL SHELTER 4 - SOUTH LCB,,,
0716T,,,1985,120,-pending-
,,RESEARCH RANGE,,,
,,SOUTH RANGE STORAGE - SOUTH LCB RESEARCH,,,
0716U,,,1985,80,-pending-
,,RANGE,,,
,,SOUTH RANGE LOAFING SHED 1 - SOUTH LCB,,,
0716V,,,1985,120,-pending-
,,RESEARCH RANGE,,,
,,SOUTH RANGE LOAFING SHED 2 - SOUTH LCB,,,
0716W,,,1985,120,-pending-
,,RESEARCH RANGE,,,
,,SOUTH RANGE LOAFING SHED 3 - SOUTH LCB,,,
0716X,,,1985,120,-pending-
,,RESEARCH RANGE,,,
717,,LCB IRRIGATION PUMP HOUSE,2008,-pending-,-pending-
718,,ZOOLOGICAL STORAGE FACILITY,2011,5563.22,5311.02
720,,LAKE CARL BLACKWELL PIONEER LODGE,1955,4234,3728
721,,LAKE CARL BLACKWELL FISHERY OFFICE,1955,168,134
722,,LAKE CARL BLACKWELL CONCESSIONS,1955,1979.75,1661.38
0722A,,LAKE CARL BLACKWELL CARPORT A,2021,-pending-,-pending-
0722B,,LAKE CARL BLACKWELL CARPORT B,2021,-pending-,-pending-
,,LAKE CARL BLACKWELL TRAILHEAD RESTROOM &,,,
0722C,,,2003,685.65,614.12
,,SHOWERS,,,
0722D,,LAKE CARL BLACKWELL BUNKHOUSE,2008,658.46,603.67
0722E,,LAKE CARL BLACKWELL FLOATING FISHING DOCK,2008,716.76,676.47
0722F,,LAKE CARL BLACKWELL FLOATING FUEL DOCK,2008,-pending-,-pending-
,,LAKE CARL BLACKWELL SKI POINT WATERLESS,,,
0722G,,,2008,114.91,98.51
,,RESTROOM,,,
,,LAKE CARL BLACKWELL SKI POINT EAST WATERLESS,,,
0722H,,,2013,114.91,98.51
,,RESTROOM,,,
,,LAKE CARL BLACKWELL HUNTS MEADOW WATERLESS,,,
0722J,,,2013,114.91,98.51
,,RESTROOM,,,
,,LAKE CARL BLACKWELL BEAVER COVEWATERLESS,,,
0722K,,,2013,114.91,98.51
,,RESTROOM,,,
about:blank,,,,,13-Sep
"4/18/25, 12:06 PM",,about:blank,,,
0722L,,LAKE CARL BLACKWELL HUNTS MEADOW PAVILION,2013,-pending-,-pending-
,,LAKE CARL BLACKWELL HUNTS MEADOW ANIMAL,,,
0722M,,,2013,-pending-,-pending-
,,SHELTER,,,
0722N,,LAKE CARL BLACKWELL SKI POINT PAVILION,2013,-pending-,-pending-
0722P,,LAKE CARL BLACKWELL CEDAR POINT PAVILION,2013,-pending-,-pending-
,,LAKE CARL BLACKWELL CEDAR POINT STORM,,,
0722Q,,,2013,-pending-,-pending-
,,SHELTER,,,
,,LAKE CARL BLACKWELL SKI POINT SOUTHWATERLESS,,,
0722R,,,2013,-pending-,-pending-
,,RESTROOM,,,
,,LAKE CARL BLACKWELL HUNTS MEADOW SOUTH,,,
0722S,,,2013,-pending-,-pending-
,,WATERLESS RESTRM,,,
0722T,,LAKE CARL BLACKWELL HPELSWATERLESS RESTROOM,2013,-pending-,-pending-
0722U,,LAKE CARL BLACKWELL SKI POINT SOUTH PAVILION,2013,-pending-,-pending-
,,LAKE CARL BLACKWELL SKI POINT NORTHWATERLESS,,,
0722V,,,2016,-pending-,-pending-
,,RESTROOM,,,
,,LAKE CARL BLACKWELL SCISSORTAIL LANE,,,
0722W,,,2016,-pending-,-pending-
,,WATERLESS RESTROOM,,,
,,LAKE CARL BLACKWELL SKI POINT BEACHWATERLESS,,,
0722X,,,2023,-pending-,-pending-
,,RESTROOM,,,
723,,LAKE CARL BLACKWELL CABIN 00,1955,624,555
0723A,,LAKE CARL BLACKWELL CABIN 9,1955,396,309
0723B,,LAKE CARL BLACKWELL CABIN 10,1955,396,309
0723C,,LAKE CARL BLACKWELL CABIN 13,1955,396,309
0723D,,LAKE CARL BLACKWELL CABIN 15,1955,396,309
0723E,,LAKE CARL BLACKWELL CABIN 16,1955,396,309
0723F,,LAKE CARL BLACKWELL CABIN 17,1955,585,467
0723G,,LAKE CARL BLACKWELL CABIN 18,1955,585,467
0723H,,LAKE CARL BLACKWELL CABIN 14,1955,585,467
0723I,,LAKE CARL BLACKWELL CABIN 11,1955,585,467
0723J,,LAKE CARL BLACKWELL CABIN 12,1955,585,467
0723K,,LAKE CARL BLACKWELL CABIN 1,1955,528,474
0723L,,LAKE CARL BLACKWELL CABIN 2,1955,528,474
0723M,,LAKE CARL BLACKWELL CABIN 3,1955,528,474
0723N,,LAKE CARL BLACKWELL CABIN 4,1955,528,474
0723O,,LAKE CARL BLACKWELL CABIN 5,1955,528,474
0723P,,LAKE CARL BLACKWELL CABIN 6,1955,528,474
0723Q,,LAKE CARL BLACKWELL CABIN 7,1955,528,474
0723R,,LAKE CARL BLACKWELL CABIN 8,1955,528,474
0723S,,LAKE CARL BLACKWELL LINEN STORAGE,1955,176,146
0723U,,LAKE CARL BLACKWELL PAVILION,1955,1800,1689
724,,LAKE CARL BLACKWELL STORAGE,1955,600,541
0724A,,LAKE CARL BLACKWELL METAL SHOP BUILDING,2003,503.78,479.04
0724B,,LAKE CARL BLACKWELL METAL SHOP BUILDING 2,2003,1217.5,1200.32
0724C,,LAKE CARL BLACKWELL FEE BOOTH,2007,242.9,214.82
0724D,,LAKE CARL BLACKWELL GROUNDS OFFICE,2008,263.55,235.91
0724E,,LAKE CARL BLACKWELL OLD STORAGE SHED,2015,-pending-,-pending-
0724F,,LAKE CARL BLACKWELL FIREWOOD SHED,2015,-pending-,-pending-
0724G,,LAKE CARL BLACKWELL PARK OFFICE,2021,-pending-,-pending-
725,,OKLAHOMABEEF INC - OFFICE-HEADQUARTERS,1972,1200,14596
0725A,,OKLAHOMABEEF INC - SALE BARN,2000,3200,-pending-
0725B,,OKLAHOMA BEEF INC - WORKING PENS,2000,1800,-pending-
0725C,,OKLAHOMA BEEF INC - ANGUS BARN,1995,9000,-pending-
0725D,,OKLAHOMABEEF INC - BRANGUS BARN,1971,5250,-pending-
0725E,,OKLAHOMA BEEF INC - OLD ANGUS BARN,1971,10500,-pending-
0725F,,OKLAHOMABEEF INC - HEREFORD BARN,1971,7500,-pending-
0725G,,OKLAHOMABEEF INC - POLLED HEREFORD BARN,1978,7500,-pending-
0725H,,OKLAHOMABEEF INC - LIMOUSIN & CHAROLAIS BARN,1978,7500,-pending-
0725J,,OKLAHOMABEEF INC - FOUR BREED BARN,1995,9000,-pending-
0725K,,OKLAHOMA BEEF INC - HAY BARN,1995,3200,-pending-
0725L,,OKLAHOMABEEF INC - RESIDENCE,1977,1800,-pending-
0725M,,OKLAHOMABEEF INC - RESIDENCE GARAGE,1977,400,-pending-
726,,RESIDENCE - LAKE CARL BLACKWELL,1938,1074,1074
727,,FIRE TRAINING STORAGE,1983,9322.92,8893.83
0727A,,FIRE TRAINING STORAGE MECHANICAL,2003,123.69,106.64
728,,INTERIOR FIREATTACK FACILITY,1983,1115.19,962.43
about:blank,,,,,13-Oct
"4/18/25, 12:06 PM",,about:blank,,,
729,,FST TRAINING TOWER,2021,-pending-,-pending-
730,,BURN SIMULATOR,1995,861.34,675.98
0730A,,OUTDOOR REHAB SHELTER - FIRE TRAINING,2003,504.82,498.25
737,,H.S. MENDENHALL OBSERVATORY,2002,205,-pending-
0737A,,H.S. MENDENHALL OBSERVATORY CONTROL BUILDING,2017,-pending-,-pending-
740,,KOSU/KSPI EQUIPMENT BUILDING,1990,1003,920
741,,MARE BARN - VETERINARY MEDICINE RANCH,1994,3024,3024
742,,WITCHER BARN - VETERINARY MEDICINE RANCH,1992,3367,3468
743,,STRATTON BARN - VETERINARY MEDICINE RANCH,1983,5867,3367
744,,MONIN BARN - VETERINARY MEDICINE RANCH,1992,1728,1728
745,,SHOP BUILDING - VETERINARY MEDICINE RANCH,1983,1800,1800
0746A,,PUMP HOUSE - VETERINARY MEDICINE RANCH,2009,157.67,129.34
,,RESIDENCE - MOBILE HOME - VETERINARY MEDICINE,,,
0746B,,,2014,1280,-pending-
,,RANCH,,,
748,,HAY BARN - VETERINARY MEDICINE RANCH,1983,834,834
0748A,,LOAFING SHED 1 - VETERINARY MEDICINE RANCH,1983,-pending-,-pending-
0748B,,LOAFING SHED 2 - VETERINARY MEDICINE RANCH,1983,-pending-,-pending-
0748C,,LOAFING SHED 3 - VETERINARY MEDICINE RANCH,1983,-pending-,-pending-
749,,STALLION BARN - VETERINARY MEDICINE RANCH,1989,1800,1800
,,SOUTH STALLION BARN - VETERINARY MEDICINE,,,
0749A,,,1989,2000,-pending-
,,RANCH,,,
750,,CAMP REDLANDS DINING HALL,1924,3147,2970
0750A,,BUNK HOUSE 1 - CAMP REDLANDS,1924,553,534
0750B,,BUNK HOUSE 2 - CAMP REDLANDS,1924,553,534
0750C,,BUNK HOUSE 3 - CAMP REDLANDS,1924,583,534
0750D,,BUNK HOUSE 4 - CAMP REDLANDS,1924,583,534
0750E,,BUNK HOUSE 5 - CAMP REDLANDS,1924,583,534
0750F,,BUNK HOUSE 6 - CAMP REDLANDS,1924,583,534
0750G,,BUNK HOUSE 7 - CAMP REDLANDS,1924,583,534
0750H,,BUNK HOUSE 8 - CAMP REDLANDS,1924,583,534
0750I,,BUNK HOUSE 9 - CAMP REDLANDS,1924,583,534
0750J,,BUNK HOUSE 10 - CAMP REDLANDS,1924,583,534
0750K,,BUNK HOUSE 11 - CAMP REDLANDS,1924,583,534
0750L,,BUNK HOUSE 12 - CAMP REDLANDS,1924,583,534
0750M,,RESIDENTS HOUSE - CAMP REDLANDS,1924,1127,950
0750N,,OLD BATH HOUSE 1 - CAMP REDLANDS,1924,914,840
0750P,,STORAGE - CAMP REDLANDS,1924,256,225
0750Q,,BATH HOUSE - CAMP REDLANDS,1924,1114.59,977.22
0750R,,TOOL BARN - CAMP REDLANDS,1924,1300,1267
0750S,,PAVILION - CAMP REDLANDS,1924,3535.59,3535.59
0750U,,ROPES COURSE STORAGE - CAMP REDLANDS,2016,98,84
0750V,,MOVABLE STORAGE - CAMP REDLANDS,2016,150,145
,,CAMP REDLANDS RESEARCH FACILITY - VETERINARY,,,
752,,,2011,-pending-,-pending-
,,MEDICINE,,,
761,,RAM TEST STATION - NORTH OF BEEF CATTLE,1991,1200,-pending-
0761A,,GARAGEAND STORAGE - NORTH OF BEEF CATTLE,1970,750,-pending-
0761B,,MOBILE HOME - NORTH OF BEEF CATTLE,2012,1000,-pending-
0775B,,NORTH RANGE OFFICE - NORTH LCB RESEARCH RANGE,1950,192,-pending-
0775C,,NORTH RANGE SHOP - NORTH LCB RESEARCH RANGE,2007,600,-pending-
,,NORTH RANGE HEIFER BARN - NORTH LCB RESEARCH,,,
0775D,,,1960,1152,-pending-
,,RANGE,,,
,,NORTH RANGE BOX CAR FEED STORAGE - NORTH LCB,,,
0775E,,,1960,390,-pending-
,,RES RANGE,,,
,,NORTH RANGE CALVING BARN - NORTH LCB RESEARCH,,,
0775L,,,1960,1872,-pending-
,,RANGE,,,
0775M,,NORTH RANGE WEST PENS SHED-ANIMAL SHELTER,1960,512,-pending-
,,NORTH RANGE EAST HAY BARN - NORTH LCB,,,
0775S,,,1960,2068.06,1862.08
,,RESEARCH RANGE,,,
,,NORTH RANGE EAST LOAFING SHED - NORTH LCB,,,
0775T,,,1960,504,-pending-
,,RESEARCH RGE,,,
,,NORTH RANGE STACK EAST HAY BARN - NORTH LCB,,,
0775U,,,1960,-pending-,-pending-
,,RESEARCH RG,,,
,,ANIMAL SCIENCE RESIDENCE - MOBILE HOME -,,,
777,,,1989,1120,-pending-
,,PUREBRED RANGE,,,
,,ANIMAL SCIENCE RESIDENCE GARAGE BY BUILDING,,,
778,,,2003,498.55,489.96
,,777,,,
about:blank,,,,,13-Nov
"4/18/25, 12:06 PM",,about:blank,,,
,,ANIMAL SCIENCE COVERED PEN/CORRALS - PUREBRED,,,
0778A,,,1960,500,-pending-
,,RANGE,,,
0778B,,ANIMAL SCIENCE QUONSET - PUREBRED RANGE,1960,1500,-pending-
0778C,,ANIMAL SCIENCE CORRALS SHED - PUREBRED RANGE,1960,500,-pending-
0778D,,ANIMAL SCIENCE HAY BARN - PUREBRED RANGE,1960,1750,-pending-
,,ANIMAL SCIENCE SHEDAT WORKING PENS - PUREBRED,,,
0778E,,,1960,900,-pending-
,,RANGE,,,
,,ANIMAL SCIENCE CONC BLOCK SHELTERA - PUREBRED,,,
0778F,,,1960,200,-pending-
,,RANGE,,,
,,ANIMAL SCIENCE CONC BLOCK SHELTER B - PUREBRED,,,
0778G,,,1960,200,-pending-
,,RANGE,,,
,,ANIMAL SCIENCE METAL ANIMAL SHELTERA -,,,
0778H,,,1960,200,-pending-
,,PUREBRED RANGE,,,
,,ANIMAL SCIENCE METAL ANIMAL SHELTER B -,,,
0778J,,,1960,200,-pending-
,,PUREBRED RANGE,,,
,,ANIMAL SCIENCE METAL ANIMAL SHELTER C -,,,
0778K,,,1960,200,-pending-
,,PUREBRED RANGE,,,
,,ANIMAL SCIENCE METAL ANIMAL SHELTER D -,,,
0778L,,,1960,200,-pending-
,,PUREBRED RANGE,,,
,,ANIMAL SCIENCE METAL ANIMAL SHELTER E -,,,
0778M,,,1960,200,-pending-
,,PUREBRED RANGE,,,
0778N,,ANIMAL SCIENCE PUMP HOUSE - PUREBRED RANGE,1960,100,-pending-
,,METAL BUILDING SOUTH OF VET MED RANCH ON 44TH,,,
780,,,1994,239.65,212.3
,,AVENUE,,,
,,LOAFING SHED SOUTH OF VET MED RANCH ON 44TH,,,
0780A,,,1994,299.61,284.27
,,AVENUE,,,
,,LOAFING SHED 2 SOUTH OF VET MED RANCH ON 44TH,,,
0780B,,,1994,300.37,285.02
,,AVENUE,,,
790,,OKLAHOMASTATE UNIVERSITY LIBRARY ANNEX,1996,53818.26,52641.96
791,BNA,BANK NA,1996,8152.74,7371.63
792,,OSU TRANSIT SERVICES,2003,1721.3,1569.35
,,TRANSPORTATION OPERATIONSAND MAINTENANCE,,,
793,,,Unknown,-pending-,-pending-
,,FACILITY,,,
794,,UNIVERSITY HOUSE,2022,16272.82,15457.27
0794A,,FACILITIES MANAGEMENT LANDSCAPE SERVICES SHED,2023,-pending-,-pending-
795,,COMPRESSED NATURAL GAS FUELING FACILITY,2010,1500,1500
798,,RODEOARENA ACTIVITY CENTER,2020,1344,1226.78
799,,RODEO BARN,2001,29491.14,29460.64
800,,EQUINE SPORTS RESEARCH,1996,5559.82,5134.98
801,,EQUINE SPORTS RESEARCH STALL BARN,1997,6688.05,6593.83
802,,EQUINE SPORTS RESEARCH STORAGE,1997,2833.11,2779.42
803,,EQUINE SPORTS RESEARCH FORCE PLATE FACILITY,1996,1774.11,1643.28
804,,EQUINE SPORTS RESEARCH BIOSAFETY MANURE BIN,2015,-pending-,-pending-
805,,EQUINE SPORTS RESEARCH FEED STORAGE,2015,-pending-,-pending-
0806A,,EQUINE SPORTS RESEARCH - ANIMAL SHELTER 1,2016,-pending-,-pending-
0806B,,EQUINE SPORTS RESEARCH - ANIMAL SHELTER 2,2016,-pending-,-pending-
0806C,,EQUINE SPORTS RESEARCH - ANIMAL SHELTER 3,2016,-pending-,-pending-
