Building Number,Building Abbr,Ofﬁcial Building Name,Original Year,Ext SqFt,Net SqFt
106,ACOB,AGRICULTURAL CENTER OFFICE,1975,40918.35,38201.12
,,DAVID L BOREN VETERINARY MEDICINE TEACHING,,,
107,VMTH,,1981,145376.4,136357.33
,,HOSPITAL,,,
108,ESML,EQUINE SPORTS MEDICINE LAB,1973,2075.3,1752.18
109,CRCA,COLVIN CENTERANNEX,1978,36189.19,34958.32
,,OKLAHOMA ANIMAL DISEASE DIAGNOSTIC,,,
110,OADD,,1974,68123.38,61738.06
,,LABORATORY,,,
111,UHS,UNIVERSITY HEALTH SERVICES,1974,46967.76,43439.44
112,,HAZARDOUS REACTION LABORATORY,1982,5997.34,5440.77
113,FMA,FACILITIES MANAGEMENT ADMINISTRATION,1975,12153.85,11100.7
114,,FIRE PUBLICATIONSAND TRAINING,1975,10339.68,9451.93
115,MERL,MECHANICAL&AEROSPACE ENGINEERING RESEARCH,1976,24935.83,23587.57
116,ERDL,ELECTRONICS LABORATORY,1978,11087.1,10365.55
117,,FIRE PUBLICATIONWAREHOUSE,1981,17886.8,17232.12
118,,FACILITIES MANAGEMENT LANDSCAPE STORAGE,1982,2901.35,2842.29
119,,FACILITIES MANAGEMENT LUMBER STORAGE,1983,2901.3,2829.22
120,,BRUMLEY APARTMENTS - UNIT E2,1961,8781.06,7669.61
121,,BRUMLEY APARTMENTS - UNIT D4,1961,10724.34,9379.56
122,,BRUMLEY APARTMENTS - UNIT D3,1961,10724.34,9379.56
123,,BRUMLEY APARTMENTS - UNIT E1,1961,8741.33,7639.45
124,,BRUMLEY APARTMENTS - UNIT D1,1961,10724.34,9379.56
125,,BRUMLEY APARTMENTS - UNIT D2,1961,10724.34,9379.56
126,,VILLAGE SUITES C AND D,2006,110606.55,96272.41
127,,VILLAGE SUITES HS,2006,42824.24,37617.46
128,,VILLAGE SUITES CASNR,2006,42807.69,37575.02
129,,VILLAGE SUITES E AND F,2006,110603.27,96219.65
130,,CENTRAL MARKET PLACE,2023,31532.67,30362.01
133,,LIBRARY AUXILIARY,2014,18962.9,17185.91
134,,INFORMATION TECHNOLOGY,2014,29081.36,27849.52
135,UAT,UNIVERSITY ASSESSMENT AND TESTING,2005,13938.75,12282.3
136,CVHS,CVMACADEMIC CENTER,2015,15354.49,13682.39
137,,DEMAREEAPARTMENTS - UNIT S-42,1962,11285.34,9941.46
139,,DEMAREEAPARTMENTS - UNIT S-39,1962,11285.34,9941.46
140,,DEMAREEAPARTMENTS - UNIT S-41,1962,11285.34,9943.04
141,,DEMAREEAPARTMENTS - UNIT S-40,1962,11285.34,9942.79
142,,DEMAREEAPARTMENTS - UNIT S-38,1962,11285.34,9941.46
143,,DEMAREEAPARTMENTS - UNIT S-36,1962,11285.34,9941.46
about:blank,,,,,13-Feb
"4/18/25, 12:06 PM",,about:blank,,,
148,,DEMAREEAPARTMENTS - UNIT S-37,1962,11285.34,9941.46
149,,PROSSER APARTMENTS - UNIT N-20,1957,11285.34,9941.46
150,,PROSSER APARTMENTS - UNIT N-25,1957,2798.6,2453.56
151,,PROSSER APARTMENTS - UNIT N-26,1957,11285.34,9941.46
156,,PROSSER APARTMENTS - UNIT N-28,1957,11285.34,9941.46
157,,PROSSER APARTMENTS - UNIT N-23,1957,2798.6,2453.56
158,,PROSSER APARTMENTS - UNIT N-22,1957,11285.34,9941.46
159,,PROSSER APARTMENTS - UNIT N-27,1957,11285.34,9941.46
160,,PROSSER APARTMENTS - UNIT N-24,1957,2798.6,2453.56
161,,PROSSER APARTMENTS - UNIT N-17,1957,2798.6,2453.56
162,,PROSSER APARTMENTS - UNIT N-16,1957,11285.34,9941.46
163,,PROSSER APARTMENTS - UNIT N-21,1957,11285.34,9941.46
164,,PROSSER APARTMENTS - UNIT N-18,1957,2798.6,2453.56
165,,WILLIAMS APARTMENTS - UNIT N-15,1957,2798.6,2453.56
166,,WILLIAMS APARTMENTS - UNIT N-14,1957,11285.34,9941.46
167,,WILLIAMS APARTMENTS - UNIT N-13,1957,2798.6,2453.56
168,,WILLIAMS APARTMENTS - UNIT N-12,1957,11285.34,9941.46
169,,PROSSER APARTMENTS - UNIT N-19,1957,2798.6,2453.56
170,,WILLIAMS APARTMENTS - UNIT N-101,1966,11285.34,9941.46
171,,WILLIAMS APARTMENTS - UNIT N-102,1966,11285.34,9941.46
172,,WEST APARTMENTS - UNIT S-85,1964,11285.34,9941.46
173,,WEST APARTMENTS - UNIT S-86,1964,11285.34,9941.46
174,,WILLIAMS APARTMENTS - UNIT N-103,1966,11285.34,9941.46
175,,WILLIAMS APARTMENTS - UNIT N-104,1966,11285.34,9941.46
176,,WEST APARTMENTS - UNIT S-87,1964,11285.34,9941.46
177,,WILLIAMS APARTMENTS - UNIT N-105,1966,11285.34,9941.46
178,,STEVENSAPARTMENTS - UNIT S-92,1964,11285.34,9941.46
179,,WEST APARTMENTS - UNIT S-88,1964,11285.34,9941.46
180,,STEVENSAPARTMENTS - UNIT S-91,1964,11285.34,9941.46
181,,WEST APARTMENTS - UNIT S-89,1964,11285.34,9941.46
182,,STEVENSAPARTMENTS - UNIT S-90,1964,11285.34,9941.46
183,,STEVENSAPARTMENTS - UNIT S-75,1964,11285.34,9941.46
184,,WEST APARTMENTS - UNIT S-80,1964,11285.34,9941.46
185,,WEST APARTMENTS - UNIT S-81,1964,11285.34,9941.46
186,,STEVENSAPARTMENTS - UNIT S-74,1964,11285.34,9941.46
187,,STEVENSAPARTMENTS - UNIT S-73,1964,11285.34,9941.46
188,,WEST APARTMENTS - UNIT S-82,1964,11285.34,9941.46
189,,WEST APARTMENTS - UNIT S-83,1964,11285.34,9941.46
190,,WEST APARTMENTS - UNIT S-84,1964,11285.34,9941.46
191,,STEVENSAPARTMENTS - UNIT S-72,1964,11285.34,9941.46
192,,STEVENSAPARTMENTS - UNIT S-71,1964,11285.34,9941.46
193,,STEVENSAPARTMENTS - UNIT S-70,1964,11285.34,9941.46
194,,STEVENSAPARTMENTS - UNIT S-76,1964,11285.34,9941.46
,,MARRIED STUDENT APARTMENTS,,,
195,,,1990,333,265.23
,,TELECOMMUNICATIONS,,,
196,,FAPC MECHANICAL,1997,558.88,436.42
197,WC,SERETEAN WELLNESS CENTER,1990,30509.88,28331.39
198,EEA,EQUINE EXAMINATIONARENA,1991,7275.56,6965.01
199,,NEAL PATTERSON STADIUM,2019,14650.99,13589.72
0199A,,COWGIRL CORRAL,2019,22445.06,21153.2
200,,CINGULAR WIRELESS EQUIPMENT,2002,225,200.85
201,FRC,FAMILY RESOURCE CENTER,1998,7185.34,6587.89
202,,VETERINARY MEDICINE MAINTENANCE FACILITY,1995,4118.55,3677.37
203,,HALL OF FAME SOCCER COMPLEX MECHANICAL,1997,112.28,80.56
204,,UNIVERSITY APARTMENTS STORAGE 1,1964,474.9,405.68
205,,UNIVERSITY APARTMENTS STORAGE 2,1964,473.33,404.65
206,,UNIVERSITY APARTMENTS STORAGE 3,1964,333.94,311.9
207,,UNIVERSITY APARTMENTS STORAGE 4,1964,401.49,375.78
211,BCEL,BERT COOPER ENGINEERING LABORATORY,2014,30682.38,29267.23
212,VAA,VISUAL ARTSANNEX,2003,14497.13,13742.56
213,,STORAGE - HAZARDOUS REACTION LABAREA,1982,332.13,315.94
214,,WILLIS SOCCER FIELD RESTROOMS,1997,649.86,532.37
215,,FRACTIONATION RESEARCH CONTROL,1991,3141.42,2856.74
216,,FIRE PROTECTION PUBLICATIONS OFFICE,1990,30181.22,27100.42
217,,HAZARDOUS STORAGE,1984,1309.5,1213.31
about:blank,,,,,13-Mar
"4/18/25, 12:06 PM",,about:blank,,,
218,,PETROLEUM TECHNOLOGY WAREHOUSE,1983,7300.06,7144.53
219,PTC,PETROLEUM TECHNOLOGY CLASSROOM BUILDING,1990,12385.12,11722.99
,,FIRE TECHNOLOGY OUTDOOR LABORATORY- FIRE TECH,,,
220,,,1974,3117.55,2813.27
,,AREA,,,
,,FIRE PROTECTION & SAFETY TECHNOLOGY,,,
222,,,2003,11000.37,9846.35
,,LABORATORY,,,
223,CONL,CONSTRUCTION TECHNOLOGY LABORATORY #2,1968,5925.65,5465.1
224,,GARY F. STEWART CORE RESEARCH FACILITY,2018,5735,5179.01
225,,FACILITIES MANAGEMENT HORTICULTURE,2003,14171.94,13868.21
226,,CONTROLLED ENVIRONMENTAL PLANT FACILITY,2003,2706.38,2518.42
227,ECDU,ENERGY CONSERVATION DEMONSTRATION UNIT,1980,2044.57,1906.36
228,,STORAGE - CONSTRUCTION TECHNOLOGY AREA,1978,531.56,473.35
230,,RIDGE ROAD GREENHOUSE,2009,7513.8,6738.72
231,,EXCELSIOR,2019,10797.89,9851.54
0236A,,FACILITIES MANAGEMENT UTILITIES OFFICES STORAGE,2016,-pending-,-pending-
237,,FACILITIES MANAGEMENT UTILITIES STORAGE,2010,606.55,578.92
238,,FACILITIES MANAGEMENT WAREHOUSE NO. 1,2001,8451.42,7870.23
239,,WEST CHILLEDWATER PLANT,2000,25883.41,24161.77
240,,DUMP TRUCKWASH STATION,1998,1090.27,1059.33
241,,FACILITIES MANAGEMENT WAREHOUSE NO. 2,1978,9708.34,9223.54
242,,FACILITIES MANAGEMENT WAREHOUSE NO. 3,1996,9969.97,9714.89
243,,FACILITIES MANAGEMENT WAREHOUSE NO. 4,1978,9487.89,9402.2
245,,MCPHERSON HALL,2001,39775.17,35155.93
246,,PAYNE ELLIS HALL,2001,43873.4,38830.22
247,,CARREKER HALL WEST,2001,26619.93,23434.61
248,,CARREKER HALL EAST,2001,26619.93,23435.03
249,,MORSANI-SMITH HALL,2001,90330.54,79486.37
250,,SITLINGTON HALL,2001,25197.96,22065.5
251,,GRIFFITH COMMUNITY CENTER,2001,6163.09,5686.34
252,,YOUNG HALL,2001,25197.96,22065.12
253,,DAVIS HALL,2001,53103.51,46827.39
254,,BOST HALL,2001,37406.58,32711.34
255,,ZINK-ALLEN HALL,2001,105926.33,92327.43
256,,PATILLO COMMUNITY CENTER,2000,3402.97,3139.6
257,,PETERSON-FRIEND HALL,2000,89998.47,79330.99
258,,KAMM HALL,2000,37414.53,32735.04
259,,PATCHIN-JONES HALL,2000,104530.17,91324.12
260,,OFFICES - 1202 WEST MCELROY ROAD,2014,3867.79,3574.75
261,,BOOKER-STINCHCOMB HALL,2003,131446.88,114744.53
262,,ADAMS MARKET,2003,12503.97,11463.41
263,,WENTZ LANE PARKING GARAGE,2013,211549.47,206565.64
264,,UNIVERSITY COMMONS WEST,2015,90139.69,75531.62
0264A,,UNIVERSITY COMMONS DUMPSTER MECHANICAL,2015,143.07,107.92
265,,UNIVERSITY COMMONS NORTH,2015,90050.47,75503.66
266,,UNIVERSITY COMMONS SOUTH,2015,90087.69,75559.65
267,,NHOF DINING HALL,2016,37837.59,35310.57
270,,4THAVENUE PARKING GARAGE,2016,239373.52,231855.87
271,,MCKNIGHT CENTER FOR THE PERFORMINGARTS,2019,134241.58,111347.34
272,GSM,MICHAEL ANDANNE GREENWOOD SCHOOL OF MUSIC,2021,73594.63,63675.21
273,,CROSS COUNTRY STORAGE,2019,-pending-,-pending-
281,NOC,"NORTHERN OKLAHOMA COLLEGE, STILLWATER",2018,77247.13,71161.4
282,CP,CENTRAL PLANT,2018,82429.16,71403.58
284,,MULTIMODAL TRANSPORTATION TERMINAL,2009,18642.25,17260.66
285,,MONROE STREET GARAGE,2009,330593.7,322155.4
286,,SHERMAN E. SMITH TRAINING FACILITY,2013,93544,-pending-
287,,ATHLETIC TICKET OFFICE CALL CENTER,1947,2953.57,2467.79
0287A,,ATHLETIC TICKET OFFICE CALL CENTER ANNEX,1947,280.04,231.58
288,,MICHAEL ANDANNE GREENWOOD TENNIS CENTER,2014,54837.99,52199.29
0288A,,TENNIS CENTER NORTH FITNESS FACILITY,2014,1504.58,1252.71
289,,TRACK FACILITY,2014,7728.84,7070.42
0289A,,TRACK FACILITY STORAGE,2014,3299.52,3094.55
290,,O'BRATE STADIUM,2020,163832.19,112939.39
300,,CAREERTECH PRINT PLANT &WAREHOUSE,1980,47493.15,45803.62
305,,GREENHOUSE #1 - SPECIAL PROJECTS AREA,1983,1489,1440
306,,GREENHOUSE #2 - SPECIAL PROJECTS AREA,1983,1489,1440
about:blank,,,,,13-Apr
"4/18/25, 12:06 PM",,about:blank,,,
307,,GREENHOUSE #3 - SPECIAL PROJECTS AREA,1983,1489,1440
308,,GREENHOUSE #4 - SPECIAL PROJECTS AREA,1983,1489,1440
309,,HORTICULTURE CLUB GREENHOUSE,1983,1489,1440
310,,USDAPLANT SCIENCE FACILITY - OFFICE & LAB,1983,-pending-,-pending-
311,,USDAPLANT SCIENCE FACILITY - HEADHOUSE,1965,-pending-,-pending-
0311A,,USDA GREENHOUSE #1 - ARS-17A - USDA NORTH,1965,-pending-,-pending-
0311B,,USDA GREENHOUSE #2 - ARS-17B - USDA NORTH,1965,-pending-,-pending-
0311C,,USDA GREENHOUSE #3 - ARS-17C - USDA NORTH,1965,-pending-,-pending-
0311D,,USDA GREENHOUSE #4 - ARS-17D - USDA NORTH,1965,-pending-,-pending-
0311E,,USDA GREENHOUSE #5 - ARS-17E - USDA NORTH,1965,-pending-,-pending-
0311F,,USDA GREENHOUSE #6 - ARS-17F - USDA NORTH,1965,-pending-,-pending-
0311G,,USDA GREENHOUSE #7 - ARS-17G - USDA NORTH,1965,-pending-,-pending-
0311H,,USDA GREENHOUSE #8 - ARS-17H - USDA NORTH,1965,-pending-,-pending-
312,,USDA GREENHOUSE #9 - ARS-17J - USDA NORTH,1965,-pending-,-pending-
0313A,,USDA GREENHOUSE #10 - ARS-18A - USDA NORTH,1965,-pending-,-pending-
0313B,,USDAGREENHOUSE #11 - ARS-18B - USDA NORTH,1965,-pending-,-pending-
0313C,,USDA GREENHOUSE #12 - ARS-18C - USDA NORTH,1965,-pending-,-pending-
0313D,,USDA GREENHOUSE #13 - ARS-18D - USDA NORTH,1965,-pending-,-pending-
0313E,,USDA GREENHOUSE #14 - ARS-18E - USDA NORTH,1965,-pending-,-pending-
0313F,,USDA GREENHOUSE #15 - ARS-18F - USDA NORTH,1965,-pending-,-pending-
,,USDAPLANT SCI FACIL - ARS-24 - EAST METAL,,,
0314A,,,1965,-pending-,-pending-
,,BUILDING,,,
,,USDAPLANT SCI FACIL - ARS-27 - WEST METAL,,,
0314B,,,1965,-pending-,-pending-
,,BUILDING,,,
,,USDAPLANT SCI FACIL - ARS-26 - PEANUT MAINT,,,
0314C,,,1965,-pending-,-pending-
,,BUILDING,,,
,,USDAPLANT SCI FACIL - ARS-28 - BIOCONTROL,,,
0314D,,,1965,-pending-,-pending-
,,LABORATORY,,,
0314E,,USDAPLANT SCI FACIL - OPEN STORAGE SHELTER,1965,-pending-,-pending-
